Crop,N,P,K,pH,rainfall,temperature
pineapple,160,40,120,6.635339860561928,2127.596617134721,23.987063006873527
rice,80,40,40,5.34,98.98,34.92333333
jackfruit,75,40,50,4.833857969146824,1060.7616519283858,27.56188046189702
bittergourd,60,10,20,6.33906938918124,2777.9418908352204,27.723773393240997
bittergourd,60,10,20,6.691504939650586,1584.491042849398,26.097330747944067
sweetpotato,90,20,120,5.19075685603189,820.4389430791323,29.323679388729367
mango,20,20,30,5.071407708162819,899.9432035812151,27.03734834303503
mango,20,20,30,4.838814126226963,1141.7068094784531,26.17618933445447
garlic,50,10,60,5.690935770808373,1631.5936217781486,23.048698557288475
cotton,120,40,20,5.524142270731086,664.7771247133668,28.461522524365044
pumpkin,80,50,30,5.6539417413635285,881.8465,27.68454545
blackpepper,100,60,50,4.87339310199215,2283.327591853596,23.746928684330992
potato,180,60,90,5.12,884.5,27.65454545
papaya,50,50,50,6.04328922927304,1484.3957753015018,25.151901565961506
cabbage,100,65,70,6.4948267309447845,1035.1883056302445,28.2328013812859
sunflower,50,60,30,5.58,1011.49,30.43
brinjal,80,15,40,6.53180586746986,1231.5477197546586,28.36255216519672
onion,120,60,65,6.08,689.88,29.03727273
drumstick,40,20,10,6.6401266520063,2746.151111538136,27.89289656661772
papaya,50,50,50,6.125045852440109,576.5530388584706,28.62759809423647
pineapple,160,40,120,6.491771038046438,1071.8978703868625,18.92958466113067
cotton,120,40,20,5.427672280821324,276.730773172799,29.02858548261345
orange,20,10,10,3.8385198927477937,884.7647805510932,29.224467631357218
sunflower,50,60,30,5.4,840.46,33.58333333
grapes,20,125,200,3.9138644906211364,825.5778819449805,26.865408571831992
rice,80,40,40,5.62,1110.78,25.66666667
pumpkin,80,50,30,5.478237332626748,881.8465,27.62454545
soyabean,20,60,20,5.387000292152718,665.8317198192042,34.40511984591229
pumpkin,80,50,30,5.4060529132551185,882.7638208451139,27.64786154696465
onion,120,60,65,6.0,884.5,27.65454545
blackpepper,100,60,50,5.171411287332929,2186.502324062399,23.961755971148918
ladyfinger,80,10,40,6.475567831149652,1076.0507781558485,28.63597557797764
pumpkin,80,50,30,5.601588034146976,887.1535,27.62454545
orange,20,10,10,4.162286626646437,2151.5857250812323,24.145020782448036
jute,80,40,40,5.5330239150650105,385.1760349735614,22.877426976117867
grapes,20,125,200,4.035461727918729,1598.996414786992,23.331527034744386
pumpkin,80,50,30,5.647315319355284,882.7937363992239,27.63233811812772
bittergourd,60,10,20,6.657460753315345,1358.3856367568023,26.1328517437162
mango,20,20,30,5.0904169382257995,1754.501639363988,22.74973799806933
bittergourd,60,10,20,6.431077429718332,1004.6113767166441,27.69973988407078
pumpkin,80,50,30,5.498365912547119,881.8465,27.68454545
cabbage,100,65,70,6.608880828402387,1071.3250794462363,28.43530611398551
sunflower,50,60,30,5.519555661915682,202.95162669729245,20.58825945620307
bottlegourd,100,50,50,6.605009770334228,1306.1018622907452,25.92237237891476
blackpepper,100,60,50,5.045339815159037,2733.698105700642,28.103534013015892
coriander,10,20,20,6.36,1026.64,29.18636364
ladyfinger,80,10,40,6.527263894158456,965.2029445761374,28.922117362208045
sweetpotato,90,20,120,5.032687998709213,1185.9531159821524,28.962434353726305
bittergourd,60,10,20,6.401337606475887,2667.9836476859873,27.99073148841968
bottlegourd,100,50,50,6.475569360324292,931.3702255351639,28.97587063183166
onion,120,60,65,6.12,2169.32,23.73636364
soyabean,20,60,20,5.649560724999572,661.1773608414289,34.40511984591229
coriander,10,20,20,6.455150726015207,465.5604766723146,28.81932844844371
grapes,20,125,200,4.055815071817987,1641.8437586868745,23.04775846408757
grapes,20,125,200,4.149828913152395,1584.472241671655,22.643540695424868
jackfruit,75,40,50,4.809360328276724,996.8861402700715,27.7297109546787
blackpepper,100,60,50,4.992370560510626,3046.0745336921523,27.950750421587696
cardamom,75,75,150,5.084865684659152,2895.7566403502697,27.780482460418604
jowar,80,40,40,5.462656108774955,666.3186606705186,28.780711392260518
jackfruit,75,40,50,4.9012890685467445,1268.5474925406575,25.951977296545852
papaya,50,50,50,6.082168934249996,2132.804716327387,23.791580745517415
ladyfinger,80,10,40,6.401224222195697,895.9179629620908,27.718131125012935
maize,80,40,20,5.58,1110.78,25.66666667
blackpepper,100,60,50,4.890284380179837,2215.9106801580397,23.39860885029669
tomato,100,40,90,5.976743312663951,1002.9022916562826,28.73266141345353
tomato,100,40,90,6.042863038382724,1084.5433919179027,28.880003855489594
onion,120,60,65,6.19076936409807,1525.7485784089972,19.800901802571513
bottlegourd,100,50,50,6.549174738463266,916.0350863932481,27.638450625879162
mango,20,20,30,4.909485252503403,1112.2625940919045,27.88390288185073
radish,25,100,50,6.078195148564156,1326.2721211828366,25.933275080421737
maize,80,40,20,5.52,654.34,29.26666667
papaya,50,50,50,5.905191264695284,2298.2820332162037,23.569310753993882
rice,80,40,40,5.5,87.2,23.106
jute,80,40,40,5.483791746784228,1040.7878292537841,28.494864856165457
jackfruit,75,40,50,5.106656877850093,893.3320256560721,27.858293538721114
pumpkin,80,50,30,5.5091444004783146,887.1535,27.63889839841458
garlic,50,10,60,5.594193385439847,1059.5315338665507,29.88438988714659
cauliflower,80,70,50,6.616201603450966,1363.854770096389,26.058393512635877
bottlegourd,100,50,50,6.617513479778247,1052.7866596295123,28.198021429007838
sweetpotato,90,20,120,5.14,1426.3,26.73636364
bottlegourd,100,50,50,6.584905658044302,1328.5976374727595,25.981020900898066
maize,80,40,20,5.66,411.52,34.73
blackpepper,100,60,50,4.873369692661861,926.8467277572203,19.12999019415898
jute,80,40,40,5.526173801421076,465.48511174829474,22.64728528035305
rice,80,40,40,5.46,497.88,25.03333333
brinjal,80,15,40,6.446849619940916,1104.2611919713527,28.640802612566
mango,20,20,30,4.990864812762815,996.159411790861,28.029358662512156
jowar,80,40,40,5.54,770.44,28.68
brinjal,80,15,40,6.326806942774038,933.2064620078934,27.936938922454683
brinjal,80,15,40,6.40884010029951,2704.271877908672,27.39457221167663
potato,180,60,90,4.935796552260195,63.72016629247306,21.622929700350383
mango,20,20,30,4.8871904252649925,1231.2302777718774,29.19209178597497
mango,20,20,30,4.825103199577287,922.641563958184,29.19209178597497
cardamom,75,75,150,4.938917082892064,939.9071720504476,27.484832753381138
soyabean,20,60,20,5.374413637327628,1737.4813562922068,11.44878733882631
grapes,20,125,200,4.12073607565194,686.3761167580745,25.95934338215807
cabbage,100,65,70,6.606018930339333,1122.1979779455949,28.448013336362646
potato,180,60,90,4.871095506121268,1159.486700036553,26.775208011764423
drumstick,40,20,10,6.648226674621257,2800.192186720407,27.88461233163381
pumpkin,80,50,30,5.594890004014908,883.9612776258292,27.68454545
orange,20,10,10,3.8659045066039175,1073.162455769328,28.79703632819467
cauliflower,80,70,50,6.49227435452652,1363.854770096389,25.926483495910265
cucumber,60,60,85,6.333689929550032,950.1743386185441,29.060185015049086
coriander,10,20,20,6.666375480963763,1642.5776840386384,22.19499570112435
cotton,120,40,20,5.348412001397628,1567.3494942038683,27.01619885735384
soyabean,20,60,20,5.386881299805177,948.4838277090669,30.983856695804544
grapes,20,125,200,4.171357044339984,933.9831339447709,28.753378919047634
sweetpotato,90,20,120,5.150327921216854,584.5574231240685,34.29333171899274
tomato,100,40,90,5.958863501703624,1020.6490841303502,28.60568453120193
blackpepper,100,60,50,4.8363728018815095,877.2436050109321,27.54760516895722
grapes,20,125,200,3.8921716726147815,570.3294880649278,28.224978802285065
